airport_name,airport_kr_name,airport_iata_code,airport_iso_country,airport_continent
Utirik Airport,유티릭 공항,UTK,MH,OC
Ocean Reef Club Airport,오션 리프 클럽 공항,OCA,US,NA
Columbus Airport,콜럼버스 공항,CUS,US,NA
LBJ Ranch Airport,LBJ 랜치 공항,JCY,US,NA
Nunapitchuk Airport,국내 공항,NUP,US,NA
Icy Bay Airport,아이시 베이 공항,ICY,US,NA
Kalakaket Creek AS Airport,칼라카켓 크릭 AS 공항,KKK,US,NA
Dunsmuir Muni-Mott Airport,던스뮤어 무니모트 공항,MHS,US,NA
Chase Field Industrial Airport,체이스 필드 산업 공항,NIR,US,NA
Lime Village Airport,라임빌리지 공항,LVD,US,NA
Hog River Airport,호그 리버 공항,HGZ,US,NA
Ed-Air Airport,에드에어 공항,OTN,US,NA
Telida Airport,텔리다 공항,TLF,US,NA
Blakely Island Airport,블레이클리 아일랜드 공항,BYW,US,NA
Drift River Airport,드리프트 리버 공항,DRF,US,NA
Tetlin Airport,테틀린 공항,TEH,US,NA
Atmautluak Airport,아트마우틀루크 공항,ATT,US,NA
Livengood Camp Airport,리븐굿 캠프 공항,LIV,US,NA
Pedro Bay Airport,페드로 베이 공항,PDB,US,NA
Ouzinkie Airport,우진키 공항,KOZ,US,NA
Tununak Airport,투누낙 공항,TNK,US,NA
Minto Al Wright Airport,민토 알 라이트 공항,MNT,US,NA
Aleknagik / New Airport,알렉나직 / 신공항,WKK,US,NA
Naknek Airport,나크넥 공항,NNK,US,NA
Southern Seaplane Airport,남부 수상비행기 공항,BCS,US,NA
Earl Henry Airport,얼 헨리 공항,BWL,US,NA
Center Island Airport,센터 아일랜드 공항,CWS,US,NA
Tatitlek Airport,타타이틀크 공항,TEK,US,NA
Pine Island Airport,파인아일랜드 공항,DUF,US,NA
Fort Bragg Airport,포트 브래그 공항,FOB,US,NA
Chuathbaluk Airport,추아트발룩 공항,CHU,US,NA
Ugashik Airport,우가식 공항,UGS,US,NA
Levelock Airport,레벨록 공항,KLL,US,NA
Tuntutuliak Airport,툰투툴리악 공항,WTL,US,NA
Twin Hills Airport,트윈 힐스 공항,TWA,US,NA
Chignik Lake Airport,치그니크 호수 공항,KCQ,US,NA
Adado Airport,아다도 공항,AAD,SO,AF
Atkamba Airport,아트캄바 공항,ABP,PG,OC
Arica Airport,아리카 공항,ACM,CO,NA
Andakombe Airport,안다콤베 공항,ADC,PG,OC
El Daein Airport,대인공항,ADV,SD,AF
Adareil Airport,아다레일 공항,AEE,SS,AF
Aseki Airport,아세키 공항,AEK,PG,OC
Ar Horqin Airport,아르호르친 공항,AEQ,CN,AS
Salerno Airport,살레르노 공항,OLR,AF,AS
Ulawa Airport,울라와 공항,RNA,SB,OC
Uru Harbour Airport,우루 항구 공항,ATD,SB,OC
Barakoma Airport,바라코마 공항,VEV,SB,OC
Geva Airport,게바 공항,GEF,SB,OC
Angoram Airport,앙고람 공항,AGG,PG,OC
Gwaunaru'u Airport,과나루우 공항,AKS,SB,OC
Bellona/Anua Airport,벨로나/아누아 공항,BNY,SB,OC
Choiseul Bay Airport,초이슬베이 공항,CHY,SB,OC
Ballalae Airport,발라래 공항,BAS,SB,OC
Fera/Maringe Airport,페라/마린지 공항,FRE,SB,OC
Honiara International Airport,호니아라 국제공항,HIR,SB,OC
Babanakira Airport,바바나키라 공항,MBU,SB,OC
Avu Avu Airport,아부아부 공항,AVU,SB,OC
Ngorangora Airport,응고롱고로 공항,IRA,SB,OC
Santa Cruz/Graciosa Bay/Luova Airport,산타 크루즈/그라시오사 베이/루오바 공항,SCZ,SB,OC
Munda Airport,문다 공항,MUA,SB,OC
Nusatupe Airport,누사투페 공항,GZO,SB,OC
Mono Airport,모노 공항,MNY,SB,OC
Parasi Airport,파라시 공항,PRS,SB,OC
