airport_name,airport_kr_name,airport_iata_code,airport_continent,airport_iso_country
Utirik Airport,유티릭 공항,UTK,OC,MH
Ocean Reef Club Airport,오션 리프 클럽 공항,OCA,NA,US
Columbus Airport,콜럼버스 공항,CUS,NA,US
LBJ Ranch Airport,LBJ 랜치 공항,JCY,NA,US
Nunapitchuk Airport,국내 공항,NUP,NA,US
Icy Bay Airport,아이시 베이 공항,ICY,NA,US
Kalakaket Creek AS Airport,칼라카켓 크릭 AS 공항,KKK,NA,US
Dunsmuir Muni-Mott Airport,던스뮤어 무니모트 공항,MHS,NA,US
Chase Field Industrial Airport,체이스 필드 산업 공항,NIR,NA,US
Lime Village Airport,라임빌리지 공항,LVD,NA,US
Hog River Airport,호그 리버 공항,HGZ,NA,US
Ed-Air Airport,에드에어 공항,OTN,NA,US
Telida Airport,텔리다 공항,TLF,NA,US
Blakely Island Airport,블레이클리 아일랜드 공항,BYW,NA,US
Drift River Airport,드리프트 리버 공항,DRF,NA,US
Tetlin Airport,테틀린 공항,TEH,NA,US
Atmautluak Airport,아트마우틀루크 공항,ATT,NA,US
Livengood Camp Airport,리븐굿 캠프 공항,LIV,NA,US
Pedro Bay Airport,페드로 베이 공항,PDB,NA,US
Ouzinkie Airport,우진키 공항,KOZ,NA,US
Tununak Airport,투누낙 공항,TNK,NA,US
Minto Al Wright Airport,민토 알 라이트 공항,MNT,NA,US
Aleknagik / New Airport,알렉나직 / 신공항,WKK,NA,US
Naknek Airport,나크넥 공항,NNK,NA,US
Southern Seaplane Airport,남부 수상비행기 공항,BCS,NA,US
Earl Henry Airport,얼 헨리 공항,BWL,NA,US
Center Island Airport,센터 아일랜드 공항,CWS,NA,US
Tatitlek Airport,타타이틀크 공항,TEK,NA,US
Pine Island Airport,파인아일랜드 공항,DUF,NA,US
Fort Bragg Airport,포트 브래그 공항,FOB,NA,US
Chuathbaluk Airport,추아트발룩 공항,CHU,NA,US
Ugashik Airport,우가식 공항,UGS,NA,US
Levelock Airport,레벨록 공항,KLL,NA,US
Tuntutuliak Airport,툰투툴리크 공항,WTL,NA,US
Twin Hills Airport,트윈 힐스 공항,TWA,NA,US
Chignik Lake Airport,치그니크 호수 공항,KCQ,NA,US
Adado Airport,아다도 공항,AAD,AF,SO
Atkamba Airport,아트캄바 공항,ABP,OC,PG
Arica Airport,아리카 공항,ACM,NA,CO
Andakombe Airport,안다콤베 공항,ADC,OC,PG
El Daein Airport,대인공항,ADV,AF,SD
Adareil Airport,아다레일 공항,AEE,AF,SS
Aseki Airport,아세키 공항,AEK,OC,PG
Ar Horqin Airport,아르호르친 공항,AEQ,AS,CN
Salerno Airport,살레르노 공항,OLR,AS,AF
Ulawa Airport,울라와 공항,RNA,OC,SB
Uru Harbour Airport,우루 항구 공항,ATD,OC,SB
Barakoma Airport,바라코마 공항,VEV,OC,SB
Geva Airport,게바 공항,GEF,OC,SB
Angoram Airport,앙고람 공항,AGG,OC,PG
Gwaunaru'u Airport,과나루우 공항,AKS,OC,SB
Bellona/Anua Airport,벨로나/아누아 공항,BNY,OC,SB
Choiseul Bay Airport,초이슬베이 공항,CHY,OC,SB
Ballalae Airport,발라래 공항,BAS,OC,SB
Fera/Maringe Airport,페라/마린지 공항,FRE,OC,SB
Honiara International Airport,호니아라 국제공항,HIR,OC,SB
Babanakira Airport,바바나키라 공항,MBU,OC,SB
Avu Avu Airport,아부아부 공항,AVU,OC,SB
Ngorangora Airport,응고롱고로 공항,IRA,OC,SB
Santa Cruz/Graciosa Bay/Luova Airport,산타 크루즈/그라시오사 베이/루오바 공항,SCZ,OC,SB
Munda Airport,문다 공항,MUA,OC,SB
Nusatupe Airport,누사투페 공항,GZO,OC,SB
Mono Airport,모노 공항,MNY,OC,SB
Parasi Airport,파라시 공항,PRS,OC,SB
Rennell/Tingoa Airport,레넬/팅고아 공항,RNL,OC,SB
Sege Airport,세게 공항,EGM,OC,SB
Santa Ana Airport,산타아나 공항,NNB,OC,SB
Marau Airport,마라우 공항,RUS,OC,SB
Suavanao Airport,수아바나오 공항,VAO,OC,SB
Yandina Airport,얀디나 공항,XYA,OC,SB
Kaghau Airport,카가우 공항,KGE,OC,SB
Kukudu Airport,쿠쿠두 공항,KUE,OC,SB
Kwailabesi Airport,콰일라베시 공항,KWS,OC,SB
Wanigela Airport,와니겔라 공항,AGL,OC,PG
Lomlom Airport,롬롬 공항,LLM,OC,SB
Nana Airport,나나 공항,NAZ,OC,SB
Manaoba Airport,마나오바 공항,MHM,OC,SB
Ringi Cove Airport,코브 공항 주변,RIN,OC,SB
Ramata Airport,라마타 공항,RBV,OC,SB
Argyle Downs Airport,아가일 다운스 공항,AGY,OC,AU
Hongyuan Airport,홍위안 공항,AHJ,AS,CN
Ambatolhy Airport,암바톨리 공항,AHY,AF,MG
Aiome Airport,아이오메 공항,AIE,OC,PG
Aiambak Airport,아이암박 공항,AIH,OC,PG
Ailinglaplap Airok Airport,아일링랩랩 에어록 공항,AIC,OC,MH
Chena Hot Springs Airport,체나 온천 공항,CEX,NA,US
Herendeen Bay Airport,헤렌딘 베이 공항,HED,NA,US
Taylor Airport,테일러 공항,TWE,NA,US
Candle 2 Airport,캔들 2 공항,CDL,NA,US
Boswell Bay Airport,보스웰 베이 공항,BSW,NA,US
Zakuoma Airport,자쿠오마 공항,AKM,AF,TD
Alto Molocue Airport,알토 몰로쿠에 공항,AME,AF,MZ
Ama Airport,아마 공항,AMF,OC,PG
Amanab Airport,아마나브 공항,AMU,OC,PG
Ambatomainty Airport,암바토마인티 공항,AMY,AF,MG
Nauru International Airport,나우루 국제공항,INU,OC,NR
Angus Downs Airport,앵거스 다운스 공항,ANZ,OC,AU
Catoca Airport,카토카 공항,CTV,AF,AO
Andulo Airport,안둘로 공항,ANL,AF,AO
Cangamba Airport,칸감바 공항,CNZ,AF,AO
Dirico Airport,디리코 공항,DRC,AF,AO
Capanda Airport,카판다 공항,KNP,AF,AO
N'dalatando Airport,은달라탄도 공항,NDF,AF,AO
Annanberg Airport,아난버그 공항,AOB,OC,PG
Asapa Airport,아사파 공항,APP,OC,PG
April River Airport,에이프릴 리버 공항,APR,OC,PG
Girdwood-Alyeska Airport,거드우드-알리에스카 공항,AQY,NA,US
Bragado Airport,브라가도 공항,QRF,SA,AR
Caleta Olivia Airport,칼레타 올리비아 공항,CVI,SA,AR
Charata Airport,차라타 공항,CNT,SA,AR
General Villegas Airport,제너럴 빌가스 공항,VGS,SA,AR
Los Menucos Airport,로스 메누코스 공항,LMD,SA,AR
Valcheta Airport,발체타 공항,VCF,SA,AR
Sunchales Aeroclub Airport,순찰레스 에어로클럽 공항,NCJ,SA,AR
Carmen de Patagones Airport,카르멘 데 파타고네스 공항,CPG,SA,AR
Colonia Sarmiento Airport,콜로니아 사르미엔토 공항,OLN,SA,AR
Aragip Airport,아라집 공항,ARP,OC,PG
Asirim Airport,아시림 공항,ASZ,OC,PG
Namatanai Airport,나마타나이 공항,ATN,OC,PG
Aitape Airport,아이타페 공항,ATP,OC,PG
Gruyere Airport,그뤼에르 공항,GYZ,OC,AU
Karara Airport,카라라 공항,KQR,OC,AU
Alpha Airport,알파 공항,ABH,OC,AU
Agnew Airport,애그뉴 공항,AGW,OC,AU
Alroy Downs Airport,앨로이 다운스 공항,AYD,OC,AU
Baniyala Airport,바니얄라 공항,BYX,OC,AU
Coolibah Airport,쿨리바 공항,COB,OC,AU
Coorabie Airport,쿠라비 공항,CRJ,OC,AU
Carlton Hill Airport,칼튼힐 공항,CRY,OC,AU
Cresswell Downs Airport,크레스웰 다운스 공항,CSD,OC,AU
Diamantina Lakes Airport,지아만티나 레이크 공항,DYM,OC,AU
Helenvale Airport,헬렌베일 공항,HLV,OC,AU
Kimberley Downs Airport,킴벌리 다운스 공항,KBD,OC,AU
Kulgera Airport,쿨게라 공항,KGR,OC,AU
Camballin Airport,캠발린 공항,MYO,OC,AU
Orchid Beach Airport,오키드 비치 공항,OKB,OC,AU
Peppimenarti Airport,페피나르티 공항,PEP,OC,AU
Rockhampton Downs Airport,록햄프턴 다운스 공항,RDA,OC,AU
Sturt Creek Airport,스튜어트 크릭 공항,SSK,OC,AU
Shaw River Airport,쇼 리버 공항,SWB,OC,AU
Tom Price Airport,톰프라이스 공항,TPR,OC,AU
Torwood Airport,토우드 공항,TWP,OC,AU
Springvale Airport,스프링베일 공항,ZVG,OC,AU
Aua Island Airport,아우아 아일랜드 공항,AUI,OC,PG
Ambunti Airport,암분티 공항,AUJ,OC,PG
Agaun Airport,아가운 공항,AUP,OC,PG
Aumo Airport,아우모 공항,AUV,OC,PG
Alowe Airport,알로웨 공항,AWE,AF,GA
Pantar Kabir Airport,판타르 카비르 공항,AXO,AS,ID
Kompiam Airport,콤피암 공항,KPM,OC,PG
Buka Airport,오픈 에어포트,BUA,OC,PG
Biaru Airport,비아루 공항,BRP,OC,PG
